"search","Model","stock","price","1","2","3","4","5","order"
"77031SL01","77031SL01","1","1499","=IMAGE(""https://staticimg.titan.co.in/Sonata/Catalog/77031SL01_1.jpg"")","=IMAGE(""https://staticimg.titan.co.in/Sonata/Catalog/77031SL01_2.jpg"")","=IMAGE(""https://staticimg.titan.co.in/Sonata/Catalog/77031SL01_3.jpg"")","=IMAGE(""https://staticimg.titan.co.in/Sonata/Catalog/77031SL01_4.jpg"")","=IMAGE(""https://staticimg.titan.co.in/Sonata/Catalog/77031SL01_5.jpg"")"," "
"2160YL06","ND2160YL06","2","665","=IMAGE(""https://staticimg.titan.co.in/Sonata/Catalog/2160YL06_1.jpg"")","=IMAGE(""https://staticimg.titan.co.in/Sonata/Catalog/2160YL06_2.jpg"")","=IMAGE(""https://staticimg.titan.co.in/Sonata/Catalog/2160YL06_3.jpg"")","=IMAGE(""https://staticimg.titan.co.in/Sonata/Catalog/2160YL06_4.jpg"")","=IMAGE(""https://staticimg.titan.co.in/Sonata/Catalog/2160YL06_5.jpg"")"," "
"87021YM03","87021YM03","1","830","=IMAGE(""https://staticimg.titan.co.in/Sonata/Catalog/87021YM03_1.jpg"")","=IMAGE(""https://staticimg.titan.co.in/Sonata/Catalog/87021YM03_2.jpg"")","=IMAGE(""https://staticimg.titan.co.in/Sonata/Catalog/87021YM03_3.jpg"")","=IMAGE(""https://staticimg.titan.co.in/Sonata/Catalog/87021YM03_4.jpg"")","=IMAGE(""https://staticimg.titan.co.in/Sonata/Catalog/87021YM03_5.jpg"")"," "
"8152SP02","8152SP02","10","1049","=IMAGE(""https://staticimg.titan.co.in/Sonata/Catalog/8152SP02_1.jpg"")","=IMAGE(""https://staticimg.titan.co.in/Sonata/Catalog/8152SP02_2.jpg"")","=IMAGE(""https://staticimg.titan.co.in/Sonata/Catalog/8152SP02_3.jpg"")","=IMAGE(""https://staticimg.titan.co.in/Sonata/Catalog/8152SP02_4.jpg"")","=IMAGE(""https://staticimg.titan.co.in/Sonata/Catalog/8152SP02_5.jpg"")"," "
"77080PP02","77080PP02","1","1225","=IMAGE(""https://staticimg.titan.co.in/Sonata/Catalog/77080PP02_1.jpg"")","=IMAGE(""https://staticimg.titan.co.in/Sonata/Catalog/77080PP02_2.jpg"")","=IMAGE(""https://staticimg.titan.co.in/Sonata/Catalog/77080PP02_3.jpg"")","=IMAGE(""https://staticimg.titan.co.in/Sonata/Catalog/77080PP02_4.jpg"")","=IMAGE(""https://staticimg.titan.co.in/Sonata/Catalog/77080PP02_5.jpg"")"," "
"77083SL04","77083SL04","21","799","=IMAGE(""https://staticimg.titan.co.in/Sonata/Catalog/77083SL04_1.jpg"")","=IMAGE(""https://staticimg.titan.co.in/Sonata/Catalog/77083SL04_2.jpg"")","=IMAGE(""https://staticimg.titan.co.in/Sonata/Catalog/77083SL04_3.jpg"")","=IMAGE(""https://staticimg.titan.co.in/Sonata/Catalog/77083SL04_4.jpg"")","=IMAGE(""https://staticimg.titan.co.in/Sonata/Catalog/77083SL04_5.jpg"")"," "
"77083SL05","77083SL05","15","799","=IMAGE(""https://staticimg.titan.co.in/Sonata/Catalog/77083SL05_1.jpg"")","=IMAGE(""https://staticimg.titan.co.in/Sonata/Catalog/77083SL05_2.jpg"")","=IMAGE(""https://staticimg.titan.co.in/Sonata/Catalog/77083SL05_3.jpg"")","=IMAGE(""https://staticimg.titan.co.in/Sonata/Catalog/77083SL05_4.jpg"")","=IMAGE(""https://staticimg.titan.co.in/Sonata/Catalog/77083SL05_5.jpg"")"," "
"77083SM01","77083SM01","6","950","=IMAGE(""https://staticimg.titan.co.in/Sonata/Catalog/77083SM01_1.jpg"")","=IMAGE(""https://staticimg.titan.co.in/Sonata/Catalog/77083SM01_2.jpg"")","=IMAGE(""https://staticimg.titan.co.in/Sonata/Catalog/77083SM01_3.jpg"")","=IMAGE(""https://staticimg.titan.co.in/Sonata/Catalog/77083SM01_4.jpg"")","=IMAGE(""https://staticimg.titan.co.in/Sonata/Catalog/77083SM01_5.jpg"")"," "
"1013SM06","NK1013SM06","1","920","=IMAGE(""https://staticimg.titan.co.in/Sonata/Catalog/1013SM06_1.jpg"")","=IMAGE(""https://staticimg.titan.co.in/Sonata/Catalog/1013SM06_2.jpg"")","=IMAGE(""https://staticimg.titan.co.in/Sonata/Catalog/1013SM06_3.jpg"")","=IMAGE(""https://staticimg.titan.co.in/Sonata/Catalog/1013SM06_4.jpg"")","=IMAGE(""https://staticimg.titan.co.in/Sonata/Catalog/1013SM06_5.jpg"")"," "
"77073PP04","77073PP04","13","485","=IMAGE(""https://staticimg.titan.co.in/Sonata/Catalog/77073PP04_1.jpg"")","=IMAGE(""https://staticimg.titan.co.in/Sonata/Catalog/77073PP04_2.jpg"")","=IMAGE(""https://staticimg.titan.co.in/Sonata/Catalog/77073PP04_3.jpg"")","=IMAGE(""https://staticimg.titan.co.in/Sonata/Catalog/77073PP04_4.jpg"")","=IMAGE(""https://staticimg.titan.co.in/Sonata/Catalog/77073PP04_5.jpg"")"," "
